nama,jenis_lembaga,profile,provinsi ,alamat,kontak,jenis_kelamin,umur,jenis_kekerasan
LBH APIK Aceh Muara Dua,Hukum,Asosiasi Perempuan Indonesia untuk Keadilan (APIK) didirikan oleh 7 (tujuh) pengacara perempuan di Jakarta pada 1995. Dalam perkembangannya anggota APIK dari berbagai daerah mendirikan LBH (Lembaga Bantuan Hukum) APIK yang hingga saat ini berjumlah 16 kantor yang tersebar di seluruh Indonesia. Pada tahun 2010 terdiri 10 kantor LBH APIK yang telah ada pada saat itu memutuskan untuk bergabung dalam sebuah payung organisasi yang sama yang pada saat itu disepakati bernama Federasi LBH APIK Indonesia.Pada tahun 2012. Federasi LBH APIK Indonesia berubah nama menjadi Asosiasi LBH APIK Indonesia. Perubahan nama ini menyesuaikan dengan peraturan dan ketentuan perundangan yang ada di Indonesia dalam rangka pencatatan badan hukum organisasi di Kementrian Hukum dan HAM RI.,Nanggroe Aceh Darussalam,Jln. T. Nyak Arief No.73 Bukit Panggoi Indah Kec. Muara Dua Nanggroe Aceh Darussalam Aceh 24352,Telp. 0864543150,pria,diatas 0 tahun,fisik
LBH APIK Aceh Muara Dua,Hukum,Asosiasi Perempuan Indonesia untuk Keadilan (APIK) didirikan oleh 7 (tujuh) pengacara perempuan di Jakarta pada 1995. Dalam perkembangannya anggota APIK dari berbagai daerah mendirikan LBH (Lembaga Bantuan Hukum) APIK yang hingga saat ini berjumlah 16 kantor yang tersebar di seluruh Indonesia. Pada tahun 2010 terdiri 10 kantor LBH APIK yang telah ada pada saat itu memutuskan untuk bergabung dalam sebuah payung organisasi yang sama yang pada saat itu disepakati bernama Federasi LBH APIK Indonesia.Pada tahun 2012. Federasi LBH APIK Indonesia berubah nama menjadi Asosiasi LBH APIK Indonesia. Perubahan nama ini menyesuaikan dengan peraturan dan ketentuan perundangan yang ada di Indonesia dalam rangka pencatatan badan hukum organisasi di Kementrian Hukum dan HAM RI.,Nanggroe Aceh Darussalam,Jln. T. Nyak Arief No.73 Bukit Panggoi Indah Kec. Muara Dua Nanggroe Aceh Darussalam Aceh 24352,Telp. 0864543150,wanita,diatas 0 tahun,fisik
P2TP2A RUMOH PUTROE ACEH ,Hukum,"Pusat Pelayanan Terpadu Pemberdayaan Perempuan dan Anak yang selanjutnya disebut P2TP2A adalah pusat pelayanan yang terintegrasi dalam upaya pemberdayaan perempuan di berbagai bidang pembangunan serta perlindungan perempuan dan anak dari berbagai jenis diskriminasi dan tindak kekerasan termasuk perdagangan orang yang dibentuk oleh pemerintah atau berbasis masyarakat dan dapat berupa: pusat rujukan pusat konsultasi usaha pusat konsultasi kesehatan reproduksi pusat konsultasi hukum pusat krisis terpadu (PKT) pusat pelayanan terpadu (PPT).
",Nanggroe Aceh Darussalam,Jln. Tengku Malem No.5 Banda Aceh,"Telp. (0651)22546 
",pria,dibawah 18 tahun,verbal
P2TP2A RUMOH PUTROE ACEH ,Hukum,"Pusat Pelayanan Terpadu Pemberdayaan Perempuan dan Anak yang selanjutnya disebut P2TP2A adalah pusat pelayanan yang terintegrasi dalam upaya pemberdayaan perempuan di berbagai bidang pembangunan serta perlindungan perempuan dan anak dari berbagai jenis diskriminasi dan tindak kekerasan termasuk perdagangan orang yang dibentuk oleh pemerintah atau berbasis masyarakat dan dapat berupa: pusat rujukan pusat konsultasi usaha pusat konsultasi kesehatan reproduksi pusat konsultasi hukum pusat krisis terpadu (PKT) pusat pelayanan terpadu (PPT).
",Nanggroe Aceh Darussalam,Jln. Tengku Malem No.5 Banda Aceh,"Telp. (0651)22546 
",wanita,diatas 0 tahun,verbal
P2TP2A RUMOH PUTROE ACEH ,Hukum,"Pusat Pelayanan Terpadu Pemberdayaan Perempuan dan Anak yang selanjutnya disebut P2TP2A adalah pusat pelayanan yang terintegrasi dalam upaya pemberdayaan perempuan di berbagai bidang pembangunan serta perlindungan perempuan dan anak dari berbagai jenis diskriminasi dan tindak kekerasan termasuk perdagangan orang yang dibentuk oleh pemerintah atau berbasis masyarakat dan dapat berupa: pusat rujukan pusat konsultasi usaha pusat konsultasi kesehatan reproduksi pusat konsultasi hukum pusat krisis terpadu (PKT) pusat pelayanan terpadu (PPT).
",Nanggroe Aceh Darussalam,Jln. Tengku Malem No.5 Banda Aceh,"Telp. (0651)22546 
",pria,dibawah 18 tahun,fisik
P2TP2A RUMOH PUTROE ACEH ,Hukum,"Pusat Pelayanan Terpadu Pemberdayaan Perempuan dan Anak yang selanjutnya disebut P2TP2A adalah pusat pelayanan yang terintegrasi dalam upaya pemberdayaan perempuan di berbagai bidang pembangunan serta perlindungan perempuan dan anak dari berbagai jenis diskriminasi dan tindak kekerasan termasuk perdagangan orang yang dibentuk oleh pemerintah atau berbasis masyarakat dan dapat berupa: pusat rujukan pusat konsultasi usaha pusat konsultasi kesehatan reproduksi pusat konsultasi hukum pusat krisis terpadu (PKT) pusat pelayanan terpadu (PPT).
",Nanggroe Aceh Darussalam,Jln. Tengku Malem No.5 Banda Aceh,"Telp. (0651)22546 
",wanita,diatas 0 tahun,fisik
Dinas Sosial Pemberdayaan Perempuan dan Perlindungan Anak Kabupaten Batu Bara,Hukum,"Dinas Sosial Pemberdayaan Perempuan dan Perlindungan  Anak Kabupaten Batu Bara  mempunyai tugas pokok dalam melaksanakan  urusan pemerintahan dibidang Sosial  Pemberdayaan Perempuan dan Perlindungan Anak serta tugas pembantuan sesuai dengan wewenang yang dimiliki oleh daerah. Dinas Sosial Pemberdayaan Perempuan dan Perlindungan Anak Kabupaten Batu Bara dalam melayani tugasnya memiliki fungsi:
1. Perumusan kebijakan teknis di bidang sosial pemberdayaan perempuan dan perlindungan anak.
2. Penyelenggaraan urusan pemerintahan dan pelayanan umum di bidang sosial pemberdayaan perempuan dan perlindungan anak.
3. Pembinaan dan pelaksanaan tugas di bidang sosial pemberdayaan perempuan dan perlindungan anak.
4. Pelaksanaan tugas lain yang diberikan oleh Bupati.
 ",Sumatra Utara, Jln.  Besar Perupuk Dusun V Desa Perupuk Kecamatan Lima Puluh Pesisir Kab. Batu Bara,Telp. 082165215573,pria,dibawah 18 tahun,verbal
Dinas Sosial Pemberdayaan Perempuan dan Perlindungan Anak Kabupaten Batu Bara,Hukum,"Dinas Sosial Pemberdayaan Perempuan dan Perlindungan  Anak Kabupaten Batu Bara  mempunyai tugas pokok dalam melaksanakan  urusan pemerintahan dibidang Sosial  Pemberdayaan Perempuan dan Perlindungan Anak serta tugas pembantuan sesuai dengan wewenang yang dimiliki oleh daerah. Dinas Sosial Pemberdayaan Perempuan dan Perlindungan Anak Kabupaten Batu Bara dalam melayani tugasnya memiliki fungsi:
1. Perumusan kebijakan teknis di bidang sosial pemberdayaan perempuan dan perlindungan anak.
2. Penyelenggaraan urusan pemerintahan dan pelayanan umum di bidang sosial pemberdayaan perempuan dan perlindungan anak.
3. Pembinaan dan pelaksanaan tugas di bidang sosial pemberdayaan perempuan dan perlindungan anak.
4. Pelaksanaan tugas lain yang diberikan oleh Bupati.
 ",Sumatra Utara, Jln.  Besar Perupuk Dusun V Desa Perupuk Kecamatan Lima Puluh Pesisir Kab. Batu Bara,Telp. 082165215573,wanita,diatas 0 tahun,verbal
Dinas Sosial Pemberdayaan Perempuan dan Perlindungan Anak Kabupaten Batu Bara,Hukum,"Dinas Sosial Pemberdayaan Perempuan dan Perlindungan  Anak Kabupaten Batu Bara  mempunyai tugas pokok dalam melaksanakan  urusan pemerintahan dibidang Sosial  Pemberdayaan Perempuan dan Perlindungan Anak serta tugas pembantuan sesuai dengan wewenang yang dimiliki oleh daerah. Dinas Sosial Pemberdayaan Perempuan dan Perlindungan Anak Kabupaten Batu Bara dalam melayani tugasnya memiliki fungsi:
1. Perumusan kebijakan teknis di bidang sosial pemberdayaan perempuan dan perlindungan anak.
2. Penyelenggaraan urusan pemerintahan dan pelayanan umum di bidang sosial pemberdayaan perempuan dan perlindungan anak.
3. Pembinaan dan pelaksanaan tugas di bidang sosial pemberdayaan perempuan dan perlindungan anak.
4. Pelaksanaan tugas lain yang diberikan oleh Bupati.
 ",Sumatra Utara, Jln.  Besar Perupuk Dusun V Desa Perupuk Kecamatan Lima Puluh Pesisir Kab. Batu Bara,Telp. 082165215573,pria,dibawah 18 tahun,fisik
Dinas Sosial Pemberdayaan Perempuan dan Perlindungan Anak Kabupaten Batu Bara,Hukum,"Dinas Sosial Pemberdayaan Perempuan dan Perlindungan  Anak Kabupaten Batu Bara  mempunyai tugas pokok dalam melaksanakan  urusan pemerintahan dibidang Sosial  Pemberdayaan Perempuan dan Perlindungan Anak serta tugas pembantuan sesuai dengan wewenang yang dimiliki oleh daerah. Dinas Sosial Pemberdayaan Perempuan dan Perlindungan Anak Kabupaten Batu Bara dalam melayani tugasnya memiliki fungsi:
1. Perumusan kebijakan teknis di bidang sosial pemberdayaan perempuan dan perlindungan anak.
2. Penyelenggaraan urusan pemerintahan dan pelayanan umum di bidang sosial pemberdayaan perempuan dan perlindungan anak.
3. Pembinaan dan pelaksanaan tugas di bidang sosial pemberdayaan perempuan dan perlindungan anak.
4. Pelaksanaan tugas lain yang diberikan oleh Bupati.
 ",Sumatra Utara, Jln.  Besar Perupuk Dusun V Desa Perupuk Kecamatan Lima Puluh Pesisir Kab. Batu Bara,Telp. 082165215573,wanita,diatas 0 tahun,fisik
Himpunan Serikat Perempuan Indonesia (HAPSARI) Sumatera Utara ,Hukum,HAPSARI (Himpunan Serikat Perempuan Indonesia) adalah organisasi perempuan akar rumput berbentuk federasi dengan keanggotaan yang terdiri dari komunitas-komunitas perempuan akar rumput di desa-desa dari beberapa kabupaten di Sumatera Utara. Tahun 1997 HAPSARI berbadan hukum dalam bentuk yayasan. Sejak itu mulai memperluas wilayah kerja pengorganisasian komunitas-komunitas perempuan. Tahun 1999 seluruh kelompok-kelompok perempuan yang diorganisir didorong dan difasilitasi untuk membangun organisasi sendiri bernama Serikat Perempuan Independen (SPI) Sumatra Utara.,Sumatra Utara,Jln. Mh. Thamrin No.53 A Petapahan Kec. Lubuk Pakam Kabupaten Deli Serdang Sumatra Utara 20515,Telp. 082366494252,pria,dibawah 18 tahun,verbal
Himpunan Serikat Perempuan Indonesia (HAPSARI) Sumatra Utara ,Hukum,HAPSARI (Himpunan Serikat Perempuan Indonesia) adalah organisasi perempuan akar rumput berbentuk federasi dengan keanggotaan yang terdiri dari komunitas-komunitas perempuan akar rumput di desa-desa dari beberapa kabupaten di Sumatera Utara. Tahun 1997 HAPSARI berbadan hukum dalam bentuk yayasan. Sejak itu mulai memperluas wilayah kerja pengorganisasian komunitas-komunitas perempuan. Tahun 1999 seluruh kelompok-kelompok perempuan yang diorganisir didorong dan difasilitasi untuk membangun organisasi sendiri bernama Serikat Perempuan Independen (SPI) Sumatra Utara.,Sumatra Utara,Jln. Mh. Thamrin No.53 A Petapahan Kec. Lubuk Pakam Kabupaten Deli Serdang Sumatra Utara 20515,Telp. 082366494252,wanita,diatas 0 tahun,verbal
Himpunan Serikat Perempuan Indonesia (HAPSARI) Sumatra Utara ,Hukum,HAPSARI (Himpunan Serikat Perempuan Indonesia) adalah organisasi perempuan akar rumput berbentuk federasi dengan keanggotaan yang terdiri dari komunitas-komunitas perempuan akar rumput di desa-desa dari beberapa kabupaten di Sumatera Utara. Tahun 1997 HAPSARI berbadan hukum dalam bentuk yayasan. Sejak itu mulai memperluas wilayah kerja pengorganisasian komunitas-komunitas perempuan. Tahun 1999 seluruh kelompok-kelompok perempuan yang diorganisir didorong dan difasilitasi untuk membangun organisasi sendiri bernama Serikat Perempuan Independen (SPI) Sumatra Utara.,Sumatra Utara,Jln. Mh. Thamrin No.53 A Petapahan Kec. Lubuk Pakam Kabupaten Deli Serdang Sumatra Utara 20515,Telp. 082366494252,pria,dibawah 18 tahun,fisik
Himpunan Serikat Perempuan Indonesia (HAPSARI) Sumatra Utara ,Hukum,HAPSARI (Himpunan Serikat Perempuan Indonesia) adalah organisasi perempuan akar rumput berbentuk federasi dengan keanggotaan yang terdiri dari komunitas-komunitas perempuan akar rumput di desa-desa dari beberapa kabupaten di Sumatera Utara. Tahun 1997 HAPSARI berbadan hukum dalam bentuk yayasan. Sejak itu mulai memperluas wilayah kerja pengorganisasian komunitas-komunitas perempuan. Tahun 1999 seluruh kelompok-kelompok perempuan yang diorganisir didorong dan difasilitasi untuk membangun organisasi sendiri bernama Serikat Perempuan Independen (SPI) Sumatra Utara.,Sumatra Utara,Jln. Mh. Thamrin No.53 A Petapahan Kec. Lubuk Pakam Kabupaten Deli Serdang Sumatra Utara 20515,Telp. 082366494252,wanita,diatas 0 tahun,fisik
Koalisi Perempuan Indonesia Sumatra Utara,Hukum,Koalisi Perempuan Indonesia untuk Keadilan dan Demokrasi disingkat Koalisi Perempuan Indonesia dikukuhkan melalui Kongres Perempuan Indonesia di Yogyakarta pada Kamis tanggal 17 Desember 1998. Koalisi Perempuan Indonesia adalah organisasi perempuan yang berjuang untuk mewujudkan keadilan dan demokrasi dengan berpegang teguh kepada nilai-nilai dan prinsip kejujuran keterbukaan persamaan kesetaraan persaudarian (sisterhood) kebebasan kerakyatan kemandirian keberagaman non- sektarian non- partisan nir kekerasan berwawasan lingkungan dan solidaritas pada rakyat kecil dan yang tertindas. Disamping itu Koalisi Perempuan Indonesia juga menolak segala bentuk diskriminasi berdasar jenis kelamin kelas social agama kepercayaan ras etnis orientasi seksual warna kulit bentuk tubuh kemampuan fisik yang berbeda (diffable) usia status perkawinan pekerjaan pandangan politik dan perbedaan- perbedaan lainnya serta merawat lingkungan hidup.,Sumatra Utara,Jln. Mh. Thamrin No.53 A Petapahan Kec. Lubuk Pakam Kabupaten Deli Serdang Sumatra Utara 20515,Telp. (021) 26964703,pria,dibawah 18 tahun,verbal
Koalisi Perempuan Indonesia Sumatra Utara,Hukum,Koalisi Perempuan Indonesia untuk Keadilan dan Demokrasi disingkat Koalisi Perempuan Indonesia dikukuhkan melalui Kongres Perempuan Indonesia di Yogyakarta pada Kamis tanggal 17 Desember 1998. Koalisi Perempuan Indonesia adalah organisasi perempuan yang berjuang untuk mewujudkan keadilan dan demokrasi dengan berpegang teguh kepada nilai-nilai dan prinsip kejujuran keterbukaan persamaan kesetaraan persaudarian (sisterhood) kebebasan kerakyatan kemandirian keberagaman non- sektarian non- partisan nir kekerasan berwawasan lingkungan dan solidaritas pada rakyat kecil dan yang tertindas. Disamping itu Koalisi Perempuan Indonesia juga menolak segala bentuk diskriminasi berdasar jenis kelamin kelas social agama kepercayaan ras etnis orientasi seksual warna kulit bentuk tubuh kemampuan fisik yang berbeda (diffable) usia status perkawinan pekerjaan pandangan politik dan perbedaan- perbedaan lainnya serta merawat lingkungan hidup.,Sumatra Utara,Jln. Mh. Thamrin No.53 A Petapahan Kec. Lubuk Pakam Kabupaten Deli Serdang Sumatra Utara 20515,Telp. (021) 26964703,wanita,diatas 0 tahun,verbal
Koalisi Perempuan Indonesia Sumatra Utara,Hukum,Koalisi Perempuan Indonesia untuk Keadilan dan Demokrasi disingkat Koalisi Perempuan Indonesia dikukuhkan melalui Kongres Perempuan Indonesia di Yogyakarta pada Kamis tanggal 17 Desember 1998. Koalisi Perempuan Indonesia adalah organisasi perempuan yang berjuang untuk mewujudkan keadilan dan demokrasi dengan berpegang teguh kepada nilai-nilai dan prinsip kejujuran keterbukaan persamaan kesetaraan persaudarian (sisterhood) kebebasan kerakyatan kemandirian keberagaman non- sektarian non- partisan nir kekerasan berwawasan lingkungan dan solidaritas pada rakyat kecil dan yang tertindas. Disamping itu Koalisi Perempuan Indonesia juga menolak segala bentuk diskriminasi berdasar jenis kelamin kelas social agama kepercayaan ras etnis orientasi seksual warna kulit bentuk tubuh kemampuan fisik yang berbeda (diffable) usia status perkawinan pekerjaan pandangan politik dan perbedaan- perbedaan lainnya serta merawat lingkungan hidup.,Sumatra Utara,Jln. Pasar Melintang Industri No.2 Kec. Percut Sei Tuan Kabupaten Deli Serdang Sumatra Utara 20371,Telp. (021) 26964703,pria,dibawah 18 tahun,fisik
Koalisi Perempuan Indonesia Sumatra Utara,Hukum,Koalisi Perempuan Indonesia untuk Keadilan dan Demokrasi disingkat Koalisi Perempuan Indonesia dikukuhkan melalui Kongres Perempuan Indonesia di Yogyakarta pada Kamis tanggal 17 Desember 1998. Koalisi Perempuan Indonesia adalah organisasi perempuan yang berjuang untuk mewujudkan keadilan dan demokrasi dengan berpegang teguh kepada nilai-nilai dan prinsip kejujuran keterbukaan persamaan kesetaraan persaudarian (sisterhood) kebebasan kerakyatan kemandirian keberagaman non- sektarian non- partisan nir kekerasan berwawasan lingkungan dan solidaritas pada rakyat kecil dan yang tertindas. Disamping itu Koalisi Perempuan Indonesia juga menolak segala bentuk diskriminasi berdasar jenis kelamin kelas social agama kepercayaan ras etnis orientasi seksual warna kulit bentuk tubuh kemampuan fisik yang berbeda (diffable) usia status perkawinan pekerjaan pandangan politik dan perbedaan- perbedaan lainnya serta merawat lingkungan hidup.,Sumatra Utara,Jln. Pasar Melintang Industri No.2 Kec. Percut Sei Tuan Kabupaten Deli Serdang Sumatra Utara 20371,Telp. (021) 26964703,wanita,diatas 0 tahun,fisik
LBH APIK Medan Sumatra Utara,Hukum,LBH-APIK Medan dibentuk oleh Perkumpulan APIK(Asosiasi Perempuan Indonesia untuk Keadilan) didirikan oleh 5 orang perempuan pengacara pada tanggal 19 Nopember 1997 berdasarkan Akte Notaris Djaidir No. 47/1997.Perjalanan lembaga APIK ini hampir setahun melakukan kegiatannya diwilayah Sumatera Utara kemudian pada tanggal 19 November 1998 akhirnya merubah menjadi Lembaga Bantuan Hukum Asosiasi Perempuan Indonesia untuk keadilan (LBH APIK) Medan.,Sumatra Utara,Jln. Jermal V no 1.CDenai Medan Denai  Sumatra Utara 20371,Telp. 082157539308,pria,dibawah 18 tahun,verbal
LBH APIK Medan Sumatra Utara,Hukum,LBH-APIK Medan dibentuk oleh Perkumpulan APIK(Asosiasi Perempuan Indonesia untuk Keadilan) didirikan oleh 5 orang perempuan pengacara pada tanggal 19 Nopember 1997 berdasarkan Akte Notaris Djaidir No. 47/1997.Perjalanan lembaga APIK ini hampir setahun melakukan kegiatannya diwilayah Sumatera Utara kemudian pada tanggal 19 November 1998 akhirnya merubah menjadi Lembaga Bantuan Hukum Asosiasi Perempuan Indonesia untuk keadilan (LBH APIK) Medan.,Sumatra Utara,Jln. Jermal V no 1.CDenai Medan Denai  Sumatra Utara 20371,Telp. 082157539308,wanita,diatas 0 tahun,verbal
LBH APIK Medan Sumatra Utara,Hukum,LBH-APIK Medan dibentuk oleh Perkumpulan APIK(Asosiasi Perempuan Indonesia untuk Keadilan) didirikan oleh 5 orang perempuan pengacara pada tanggal 19 Nopember 1997 berdasarkan Akte Notaris Djaidir No. 47/1997.Perjalanan lembaga APIK ini hampir setahun melakukan kegiatannya diwilayah Sumatera Utara kemudian pada tanggal 19 November 1998 akhirnya merubah menjadi Lembaga Bantuan Hukum Asosiasi Perempuan Indonesia untuk keadilan (LBH APIK) Medan.,Sumatra Utara,Jln. Jermal V no 1.CDenai Medan Denai  Sumatra Utara 20371,Telp. 082157539308,pria,dibawah 18 tahun,fisik
LBH APIK Medan Sumatra Utara,Hukum,LBH-APIK Medan dibentuk oleh Perkumpulan APIK(Asosiasi Perempuan Indonesia untuk Keadilan) didirikan oleh 5 orang perempuan pengacara pada tanggal 19 Nopember 1997 berdasarkan Akte Notaris Djaidir No. 47/1997.Perjalanan lembaga APIK ini hampir setahun melakukan kegiatannya diwilayah Sumatera Utara kemudian pada tanggal 19 November 1998 akhirnya merubah menjadi Lembaga Bantuan Hukum Asosiasi Perempuan Indonesia untuk keadilan (LBH APIK) Medan.,Sumatra Utara,Jln. Jermal V no 1.CDenai Medan Denai  Sumatra Utara 20371,Telp. 082157539308,wanita,diatas 0 tahun,fisik
